trade_date,buy_sell,cash,cumu_r,equity,nav,num_long,position
2016-08-01,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-02,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-03,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-04,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-05,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-08,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-09,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-10,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-11,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-12,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-15,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-16,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-17,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-18,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-19,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-22,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-23,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-24,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-25,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-26,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-29,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-30,,379000.0,0.0,0.0,379000.0,0,0.0
2016-08-31,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-01,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-02,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-05,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-06,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-07,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-08,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-09,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-12,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-13,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-14,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-19,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-20,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-21,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-22,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-23,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-26,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-27,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-28,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-29,,379000.0,0.0,0.0,379000.0,0,0.0
2016-09-30,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-10,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-11,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-12,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-13,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-14,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-17,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-18,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-19,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-20,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-21,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-24,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-25,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-26,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-27,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-28,,379000.0,0.0,0.0,379000.0,0,0.0
2016-10-31,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-01,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-02,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-03,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-04,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-07,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-08,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-09,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-10,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-11,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-14,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-15,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-16,,379000.0,0.0,0.0,379000.0,0,0.0
2016-11-17,B2-1,378003.6,0.0,996.4,379000.0,1,0.0026
2016-11-18,,378003.6,1.2401055e-05,1001.1,379004.7,1,0.0026
2016-11-21,,378003.6,0.00017598944,1063.14,379066.75,1,0.0028
2016-11-22,,378003.6,0.00015883904,1056.56,379060.16,1,0.0028
2016-11-23,,378003.6,9.1820584e-05,1031.18,379034.78,1,0.0027
2016-11-24,,378003.6,0.00013139842,1046.22,379049.8,1,0.0028
2016-11-25,,378003.6,0.00033245384,1122.36,379125.97,1,0.003
2016-11-28,B1-1,377607.88,0.00026781,1493.66,379101.53,2,0.0039
2016-11-29,,377607.88,0.00017493403,1458.4099,379066.28,2,0.0038
2016-11-30,B1-1,377209.66,9.182058e-05,1825.11,379034.78,3,0.0048
2016-12-01,,377209.66,9.102902e-05,1824.83,379034.5,3,0.0048
2016-12-02,,377209.66,-6.068601e-06,1788.06,378997.72,3,0.0047
2016-12-05,S2,377588.03,-2.638518e-07,1411.9,378999.9,2,0.0037
2016-12-06,,377588.03,-3.6939325e-06,1410.64,378998.66,2,0.0037
2016-12-07,B1-1,377196.78,8.4432715e-05,1835.29,379032.1,3,0.0048
2016-12-08,,377196.78,0.00010633246,1843.5599,379040.34,3,0.0049
2016-12-09,B1-1,376801.5,0.00013007916,2247.79,379049.28,4,0.0059
2016-12-12,S2,377180.84,-0.0001712401,1754.22,378935.06,3,0.0046
2016-12-13,S2,377557.84,-0.00016253299,1380.53,378938.38,2,0.0036
2016-12-14,"B1-1,S2",378106.25,-0.00021556728,812.12,378918.38,2,0.0021
2016-12-15,,378106.25,-9.868074e-05,856.39,378962.62,2,0.0023
2016-12-16,,378106.25,-0.00016279683,832.07,378938.3,2,0.0022
2016-12-19,,378106.25,-2.9551455e-05,882.51,378988.75,2,0.0023
2016-12-20,,378106.25,-0.00017361478,827.97,378934.22,2,0.0022
2016-12-21,,378106.25,-0.00015936675,833.38,378939.62,2,0.0022
2016-12-22,,378106.25,-0.0001635884,831.79004,378938.03,2,0.0022
2016-12-23,,378106.25,-0.00017598945,827.06,378933.3,2,0.0022
2016-12-26,,378106.25,-0.00020158311,817.31,378923.56,2,0.0022
2016-12-27,,378106.25,-0.00016121373,832.69,378938.94,2,0.0022
2016-12-28,,378106.25,-0.00016015832,833.14,378939.38,2,0.0022
2016-12-29,B1-1,377730.03,-0.00016490766,1207.46,378937.5,3,0.0032
2016-12-30,,377730.03,-0.00018126649,1201.28,378931.3,3,0.0032
2017-01-03,B1-1,377341.94,-0.000113456466,1615.06,378957.0,4,0.0043
2017-01-04,,377341.94,-1.1081801e-05,1653.9299,378995.88,4,0.0044
2017-01-05,B1-1,376943.7,-7.387865e-06,2053.55,378997.22,5,0.0054
2017-01-06,,376943.7,-4.6438e-05,2038.8301,378982.5,5,0.0054
2017-01-09,,376943.7,3.1398413e-05,2068.24,379011.9,5,0.0055
2017-01-10,,376943.7,-5.1978892e-05,2036.63,378980.3,5,0.0054
2017-01-11,"B1-1,B1-1",376150.12,-0.0001751979,2783.49,378933.62,7,0.0073
2017-01-12,,376150.12,-0.0002701847,2747.48,378897.6,7,0.0073
2017-01-13,,376150.12,-0.00032744065,2725.8,378875.9,7,0.0072
2017-01-16,"S2,S2,S2",377250.62,-0.0005166227,1553.64,378804.25,4,0.0041
2017-01-17,,377250.62,-0.0004828496,1566.47,378817.1,4,0.0041
2017-01-18,,377250.62,-0.0004934037,1562.41,378813.03,4,0.0041
2017-01-19,,377250.62,-0.0005116095,1555.53,378806.12,4,0.0041
2017-01-20,B1-0,376863.38,-0.0004575198,1963.19,378826.56,5,0.0052
2017-01-23,,376863.38,-0.00037915568,1993.05,378856.4,5,0.0053
2017-01-24,,376863.38,-0.00036622692,1997.87,378861.25,5,0.0053
2017-01-25,,376863.38,-0.0003796834,1992.77,378856.12,5,0.0053
2017-01-26,,376863.38,-0.00036992086,1996.4199,378859.78,5,0.0053
2017-02-03,,376863.38,-0.00032321902,2014.1499,378877.53,5,0.0053
2017-02-06,B2-0,375869.66,-0.00018759895,3059.25,378928.9,6,0.0081
2017-02-07,B2-0,375259.1,-0.00020765173,3662.19,378921.28,6,0.0097
2017-02-08,,375259.1,-8.23219e-05,3709.79,378968.88,6,0.0098
2017-02-09,B1-1,374873.25,-0.00011372032,4083.75,378957.0,7,0.0108
2017-02-10,,374873.25,0.00018311346,4196.22,379069.47,7,0.0111
2017-02-13,,374873.25,0.0002934037,4238.09,379111.34,7,0.0112
2017-02-14,,374873.25,0.00048601584,4311.11,379184.38,7,0.0114
2017-02-15,,374873.25,0.00024564643,4219.91,379093.16,7,0.0111
2017-02-16,,374873.25,0.0003044855,4242.17,379115.4,7,0.0112
2017-02-17,S2,375546.34,0.00020844328,3532.85,379079.2,7,0.0093
2017-02-20,,375546.34,0.00038073875,3598.0,379144.34,7,0.0095
2017-02-21,,375546.34,0.0003796834,3597.57,379143.9,7,0.0095
2017-02-22,,375546.34,0.0004897098,3639.15,379185.5,7,0.0096
2017-02-23,,375546.34,0.0002894459,3563.47,379109.8,7,0.0094
2017-02-24,,375546.34,0.00026332453,3553.49,379099.84,7,0.0094
2017-02-27,,375546.34,0.00018205804,3522.64,379069.0,7,0.0093
2017-02-28,,375546.34,0.00033113454,3579.3,379125.66,7,0.0094
2017-03-01,,375546.34,0.00030290234,3568.57,379114.9,7,0.0094
2017-03-02,B1-0,375160.5,0.00015277046,3897.5698,379058.1,8,0.0103
2017-03-03,B1-1,374767.06,0.00013931395,4285.86,379052.9,9,0.0113
2017-03-06,B1-1,374373.1,0.00031319264,4745.67,379118.78,10,0.0125
2017-03-07,B1-1,373980.38,0.00029868074,5132.88,379113.25,11,0.0135
2017-03-08,,373980.38,0.00024564643,5112.83,379093.2,11,0.0135
2017-03-09,,373980.38,3.0606858e-05,5031.23,379011.6,11,0.0133
2017-03-10,B2-1,372971.66,0.00011160948,6070.7,379042.34,12,0.016
2017-03-13,,372971.66,0.00034116092,6157.71,379129.38,12,0.0162
2017-03-14,,372971.66,0.000269657,6130.69,379102.34,12,0.0162
2017-03-15,B1-1,372579.66,0.00026147754,6519.43,379099.1,13,0.0172
2017-03-16,B1-1,372185.2,0.00041926123,6973.77,379158.97,14,0.0184
2017-03-17,B1-1,371808.88,0.00020290236,7268.15,379077.03,15,0.0192
2017-03-20,B2-0,370807.22,0.00033166228,8318.65,379125.88,16,0.0219
2017-03-21,"B2-1,B1-1,B2-1",368446.62,0.0005707124,10769.64,379216.25,19,0.0284
2017-03-22,"B1-1,B2-1,B1-1",366653.84,0.0006546174,12594.38,379248.22,22,0.0332
2017-03-23,"B1-1,B1-0,S2,B2-0",365237.03,0.00085936673,14088.72,379325.75,24,0.0371
2017-03-24,"B1-0,B1-0,B1-1,B2-0,B1-1",362655.25,0.001039314,16738.95,379394.22,29,0.0441
2017-03-27,"B1-1,B1-0,B2-1",360860.3,0.00070422166,18406.87,379267.2,32,0.0485
2017-03-28,"B2-0,B1-1",359458.3,0.00057255937,19758.69,379217.0,34,0.0521
2017-03-29,"S2,B1-1,B2-1,B1-1",358026.66,0.0009604221,21337.61,379364.28,36,0.0562
2017-03-30,"B2-1,B1-0,B2-1,B2-0,S4,S2,S2,S2,S2,S2",357529.6,0.000428496,21633.17,379162.78,34,0.0571
2017-03-31,"S2,S1",358923.62,-0.0002437995,19984.31,378907.94,32,0.0527
2017-04-05,"B1-1,B1-1,B2-1,B1-0",356756.25,0.0006192612,22478.53,379234.78,36,0.0593
2017-04-06,"B1-0,B1-0,B1-1",355562.22,0.0010783641,23846.53,379408.75,39,0.0629
2017-04-07,"B1-1,B1-1",354770.38,0.0016369392,24849.99,379620.38,41,0.0655
2017-04-10,"B2-0,B1-1,B1-1,B2-0,S2",352328.75,0.0021580474,27489.41,379818.16,44,0.0724
2017-04-11,"B1-1,B1-0,B2-1",350535.34,0.0035569922,29813.15,380348.5,47,0.0784
2017-04-12,"B2-0,B1-0,B1-0,B2-0",347745.22,0.003312401,32510.43,380255.66,51,0.0855
2017-04-13,"B1-0,B2-1,B1-1,B2-0,B2-0,B1-0,S1,B2-1,B2-0",342492.78,0.004162269,38085.07,380577.88,58,0.1001
2017-04-14,"B1-0,S2,B2-1,B1-0,B2-0",340597.88,0.0022050133,39238.01,379835.88,61,0.1033
2017-04-17,"S2,B1-0,S4,S2,S2,S1",343350.38,0.00012638516,35697.51,379047.88,57,0.0942
2017-04-18,"S2,S2",344095.0,-0.0010097625,34522.39,378617.4,55,0.0912
2017-04-19,"S2,S2,S3,S2,S2,S2,S2,S1,S2,S2,S2,S1,S2,S2,S2",353529.1,-0.0017844328,24794.93,378324.03,40,0.0655
2017-04-20,"S2,S2,S1",354592.8,-0.0016844328,23768.86,378361.66,37,0.0628
2017-04-21,"B1-0,S3",354627.28,-0.0026451189,23370.15,377997.44,37,0.0618
2017-04-24,"S2,S2,S2,S2,S2,S2,S2,S2,S2,S1,S2,S2,S2",362069.47,-0.0045902375,15190.85,377260.3,24,0.0403
2017-04-25,"B2-1,S2,S2",362712.72,-0.0039939317,14773.83,377486.56,22,0.0391
2017-04-26,"B1-1,S2",362678.97,-0.0034068602,15030.14,377709.12,22,0.0398
2017-04-27,S2,363008.97,-0.0028973615,14893.0,377901.97,21,0.0394
2017-04-28,,363008.97,-0.0022577837,15135.78,378144.75,21,0.04
2017-05-02,S2,363374.78,-0.001739314,14966.17,378340.94,20,0.0396
2017-05-03,,363374.78,-0.0023216358,14745.83,378120.6,20,0.039
2017-05-04,S2,363732.38,-0.002387599,14363.17,378095.53,19,0.038
2017-05-05,S2,364636.78,-0.0032332456,13138.29,377775.06,18,0.0348
2017-05-08,B2-1,363629.6,-0.0038147757,13924.89,377554.47,19,0.0369
2017-05-09,S2,364005.78,-0.003544327,13651.18,377656.97,18,0.0361
2017-05-10,"S1,S2",365218.28,-0.0045155673,12070.75,377289.03,16,0.032
2017-05-11,"S2,S2,S2",367505.78,-0.0037401055,10076.89,377582.66,13,0.0267
2017-05-12,,367505.78,-0.0030567283,10335.91,377841.7,13,0.0274
2017-05-15,B2-1,366913.62,-0.002421372,11168.9795,378082.6,13,0.0295
2017-05-16,,366913.62,-0.0017649077,11417.86,378331.47,13,0.0302
2017-05-17,B2-0,365924.84,-0.0020424805,12301.19,378226.03,14,0.0325
2017-05-18,,365924.84,-0.0021957783,12243.38,378168.22,14,0.0324
2017-05-19,,365924.84,-0.0020598946,12294.9,378219.72,14,0.0325
2017-05-22,"B1-0,B2-0",364532.0,-0.0029155673,13363.01,377895.03,16,0.0354
2017-05-23,"S2,B2-0",364289.44,-0.0031741424,13507.99,377797.4,15,0.0358
2017-05-24,S2,364884.16,-0.0028680742,13029.33,377913.47,15,0.0345
2017-05-25,"B2-1,B2-0,B3-0",362186.62,-0.0031778365,15609.28,377795.9,17,0.0413
2017-05-26,"B1-0,B1-0",361388.72,-0.0035741425,16257.19,377645.9,19,0.043
2017-05-31,,361388.72,-0.0032197891,16391.33,377780.06,19,0.0434
2017-06-01,B1-1,361010.16,-0.00383219,16537.89,377548.06,20,0.0438
2017-06-02,"B1-0,S3",361726.56,-0.0037240107,15862.43,377589.0,20,0.042
2017-06-05,"B1-1,B2-0,B2-0,B2-0",358314.06,-0.0035509234,19340.42,377654.5,24,0.0512
2017-06-06,B2-0,357314.47,-0.0032327177,20461.06,377775.53,25,0.0542
2017-06-07,"B1-0,B2-1,B2-0,B1-0",354919.5,-0.002350132,23190.22,378109.72,28,0.0613
2017-06-08,B2-1,353919.38,-0.0022730872,24219.58,378138.97,29,0.064
2017-06-09,,353919.38,-0.0022693933,24220.89,378140.28,29,0.0641
2017-06-12,B2-0,352913.44,-0.0020802112,25298.7,378212.12,30,0.0669
2017-06-13,B1-0,352514.9,-0.0017878629,25807.79,378322.72,31,0.0682
2017-06-14,"B1-0,B2-0,S2,B2-0",350978.06,-0.0025422163,27058.98,378037.06,33,0.0716
2017-06-15,B1-0,350586.22,-0.002457256,27483.17,378069.4,34,0.0727
2017-06-16,S5,351098.03,-0.0021329818,27093.87,378191.9,34,0.0716
2017-06-19,,351098.03,-0.0019715042,27155.23,378253.28,34,0.0718
2017-06-20,,351098.03,-0.0014356204,27358.39,378456.44,34,0.0723
2017-06-21,"B2-1,B2-0",349099.88,-0.0011667546,29458.08,378557.94,36,0.0778
2017-06-22,,349099.88,-0.002639842,28900.16,378000.03,36,0.0765
