trade_date,buy_sell,cash,cumu_r,equity,nav,num_long,position
2016-08-01,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-02,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-03,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-04,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-05,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-08,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-09,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-10,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-11,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-12,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-15,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-16,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-17,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-18,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-19,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-22,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-23,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-24,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-25,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-26,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-29,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-30,,297000.0,0.0,0.0,297000.0,0,0.0
2016-08-31,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-01,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-02,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-05,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-06,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-07,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-08,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-09,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-12,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-13,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-14,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-19,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-20,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-21,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-22,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-23,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-26,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-27,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-28,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-29,,297000.0,0.0,0.0,297000.0,0,0.0
2016-09-30,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-10,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-11,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-12,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-13,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-14,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-17,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-18,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-19,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-20,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-21,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-24,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-25,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-26,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-27,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-28,,297000.0,0.0,0.0,297000.0,0,0.0
2016-10-31,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-01,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-02,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-03,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-04,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-07,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-08,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-09,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-10,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-11,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-14,,297000.0,0.0,0.0,297000.0,0,0.0
2016-11-15,"B1-1,B1-1",296203.84,0.0,796.17,297000.0,2,0.0027
2016-11-16,,296203.84,5.3872054e-06,797.81995,297001.66,2,0.0027
2016-11-17,,296203.84,5.6902358e-05,813.08997,297016.9,2,0.0027
2016-11-18,,296203.84,-1.2794613e-05,792.37,296996.2,2,0.0027
2016-11-21,,296203.84,0.0,796.20996,297000.03,2,0.0027
2016-11-22,,296203.84,7.744107e-06,798.38,297002.22,2,0.0027
2016-11-23,,296203.84,-1.6498318e-05,791.30005,296995.12,2,0.0027
2016-11-24,,296203.84,-1.2794613e-05,792.33997,296996.16,2,0.0027
2016-11-25,,296203.84,1.2794613e-05,799.93,297003.75,2,0.0027
2016-11-28,,296203.84,5.4882155e-05,812.47,297016.3,2,0.0027
2016-11-29,,296203.84,0.0001026936,826.69,297030.53,2,0.0028
2016-11-30,,296203.84,0.0001010101,826.13,297029.97,2,0.0028
2016-12-01,,296203.84,0.000119191915,831.55,297035.38,2,0.0028
2016-12-02,,296203.84,5.656566e-05,813.01,297016.84,2,0.0027
2016-12-05,,296203.84,4.3771044e-05,809.14,297012.97,2,0.0027
2016-12-06,,296203.84,-2.6262625e-05,788.44,296992.28,2,0.0027
2016-12-07,,296203.84,-2.5925925e-05,788.47,296992.3,2,0.0027
2016-12-08,,296203.84,-3.7037036e-05,785.20996,296989.03,2,0.0026
2016-12-09,,296203.84,-4.074074e-05,784.12,296987.94,2,0.0026
2016-12-12,S2,296585.06,-0.00013434344,375.1,296960.16,1,0.0013
2016-12-13,S2,296955.22,-0.00015084175,0.0,296955.22,0,0.0
2016-12-14,,296955.22,-0.00015084175,0.0,296955.22,0,0.0
2016-12-15,,296955.22,-0.00015084175,0.0,296955.22,0,0.0
2016-12-16,,296955.22,-0.00015084175,0.0,296955.22,0,0.0
2016-12-19,,296955.22,-0.00015084175,0.0,296955.22,0,0.0
2016-12-20,,296955.22,-0.00015084175,0.0,296955.22,0,0.0
2016-12-21,,296955.22,-0.00015084175,0.0,296955.22,0,0.0
2016-12-22,,296955.22,-0.00015084175,0.0,296955.22,0,0.0
2016-12-23,B2-0,295953.9,-0.00015959596,998.75,296952.66,1,0.0034
2016-12-26,,295953.9,-0.00018249158,991.95,296945.88,1,0.0033
2016-12-27,,295953.9,-0.00017373737,994.5,296948.4,1,0.0033
2016-12-28,,295953.9,-0.00025387204,970.7,296924.62,1,0.0033
2016-12-29,B2-0,294955.66,-0.00014343434,2001.72,296957.38,2,0.0067
2016-12-30,,294955.66,-0.0002882155,1958.85,296914.53,2,0.0066
2017-01-03,,294955.66,-0.00025959595,1967.22,296922.88,2,0.0066
2017-01-04,B2-0,293955.78,-0.0002050505,2983.27,296939.03,3,0.01
2017-01-05,,293955.78,-0.00024814816,2970.59,296926.38,3,0.01
2017-01-06,,293955.78,-0.00034713803,2941.19,296896.97,3,0.0099
2017-01-09,,293955.78,-0.00028013467,2961.06,296916.84,3,0.01
2017-01-10,,293955.78,-0.00026498316,2965.63,296921.4,3,0.01
2017-01-11,B1-1,293556.78,-0.0005060606,3292.97,296849.75,4,0.0111
2017-01-12,,293556.78,-0.00064444443,3251.76,296808.53,4,0.011
2017-01-13,,293556.78,-0.0005612795,3276.44,296833.22,4,0.011
2017-01-16,"S2,B2-0",293459.7,-0.0006474748,3348.1099,296807.78,4,0.0113
2017-01-17,,293459.7,-0.00065218855,3346.7,296806.38,4,0.0113
2017-01-18,,293459.7,-0.0006373737,3351.06,296810.75,4,0.0113
2017-01-19,,293459.7,-0.00066734006,3342.2,296801.88,4,0.0113
2017-01-20,S1,294382.9,-0.00062693603,2430.81,296813.72,3,0.0082
2017-01-23,B1-0,293990.88,-0.00057239056,2839.14,296830.0,4,0.0096
2017-01-24,B2-0,292992.66,-0.00046632998,3868.81,296861.47,5,0.013
2017-01-25,,292992.66,-0.00045858586,3871.05,296863.72,5,0.013
2017-01-26,,292992.66,-0.00048080808,3864.47,296857.12,5,0.013
