stock_code,trade_date,stock_code,equity,cash,cumu_r,nav,volume,buy_sell,operation_price,operation_volume,is_long
600000.SH,2016-08-01,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-02,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-03,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-04,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-05,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-08,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-09,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-10,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-11,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-12,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-15,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-16,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-17,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-18,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-19,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-22,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-23,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-24,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-25,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-26,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-29,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-30,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-08-31,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-01,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-02,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-05,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-06,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-07,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-08,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-09,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-12,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-13,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-14,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-19,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-20,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-21,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-22,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-23,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-26,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-27,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-28,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-29,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-09-30,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-10,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-11,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-12,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-13,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-14,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-17,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-18,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-19,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-20,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-21,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-24,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-25,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-26,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600000.SH,2016-10-27,600000.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
